"","gender","age"
"2","male",26.2
"3","male",38.4
"4","male",28.7
"5","male",41.3
"6","male",57.3
"7","male",34.2
"8","male",32.3
"9","male",31.3
"10","male",36.2
"11","male",23
"12","male",35.6
"13","male",29.5
"15","male",41
"18","male",38
"19","male",34.2
"20","male",33.6
"22","male",32.1
"23","male",30.8
"24","male",24.3
"28","male",24.5
"29","male",22.9
"30","male",28.6
"32","male",28
"1","female",26.7
"14","female",37.4
"16","female",20
"17","female",26.8
"21","female",25.6
"25","female",31.6
"26","female",26.2
"27","female",24.7
"31","female",29.9
